window,instrument,n_weeks,years,total_return,cagr,vol,sharpe,sortino,calmar,max_dd,ulcer,upi,best_week,worst_week,pct_pos
RPAR era (2019-12 onward),VTI,339,6.48,2.572595762493354,0.15704670848976687,0.196707389132518,0.6373889657030068,0.6129345276686734,0.47717067280280673,-0.3291206216997901,0.08836859401247059,1.3245283553255267,0.12951822477702502,-0.15257860177988292,0.5781710914454278
RPAR era (2019-12 onward),QQQ,339,6.48,3.785018921866918,0.22811475900359612,0.2246378261377777,0.8480043052718577,0.8599288184351166,0.6507227230203996,-0.3505560063198299,0.12255224042567929,1.534976091421818,0.09538104243686707,-0.11250935349159974,0.5722713864306784
RPAR era (2019-12 onward),AOR,339,6.48,1.7141179337336847,0.08675065148118888,0.12122655539988643,0.419578945110174,0.3997275271180115,0.39089911320005144,-0.2219259357510803,0.07060891799176591,0.6621068954298481,0.08243301054121743,-0.09168307371465645,0.56047197640118
SWAN era (2018-11 onward),TripleEdge 75/25,396,7.57,9.261248805861754,0.3418215897162462,0.29103793017825397,1.0191276141949472,0.9436891164210964,1.2502461040679673,-0.2734034432133401,0.1303652201489382,2.315200245674609,0.192140176390458,-0.249797919893608,0.6439393939393939
SWAN era (2018-11 onward),NTSX,396,7.57,2.7420724503189544,0.1425341666778086,0.17564609107751972,0.6199994074360736,0.5976891778886405,0.46167623386877554,-0.3087318692655983,0.10399311991956948,0.9859706753399717,0.10368303074898844,-0.1352060275633986,0.5606060606060606
SWAN era (2018-11 onward),RSST,143,2.72,1.7662941159196015,0.23249304069438215,0.21956958937527574,0.8764254949107196,0.79197006958634,0.8663642920437893,-0.2683548281357735,0.07135841215536154,2.697552185932701,0.06297449355493034,-0.14676397725068802,0.5944055944055944
SWAN era (2018-11 onward),RSBT,173,3.3,1.0575269510091414,0.01711285787756278,0.1210971084554369,-0.12440033165390454,-0.11295023485166746,0.08262837354508551,-0.20710631400998455,0.11426021706808737,-0.20030718223473032,0.032379596975887326,-0.05844161140172943,0.5317919075144508
SWAN era (2018-11 onward),RPAR,338,6.46,1.3411124602912836,0.04649163777475107,0.12990764733389532,0.11073204983898371,0.10518228574574925,0.15786010268399017,-0.29451164027062393,0.14240943398303002,0.04558432396778317,0.10346733773501327,-0.10922773726026491,0.5562130177514792
SWAN era (2018-11 onward),SWAN,395,7.55,1.6754740015540466,0.07073798490561556,0.10936002996467994,0.3173773826138004,0.32040600737246955,0.22819464126313296,-0.3099896847448186,0.129852901677875,0.23671388554617762,0.05091377482300974,-0.05018911296603934,0.5316455696202531
SWAN era (2018-11 onward),NTSI,263,5.02,1.3452073053777787,0.06083782777946789,0.1556971135449794,0.2025329983573264,0.19095271825357035,0.18330281976959178,-0.33189793728181544,0.12207023280849745,0.17070359661030599,0.0813236013121108,-0.07187232328103088,0.5665399239543726
SWAN era (2018-11 onward),NTSE,263,5.02,1.456829949169583,0.07781362078264076,0.18384941142503278,0.2830831909481873,0.2753877976425515,0.1871287040119655,-0.41582942175276943,0.22853198313324888,0.16546314552651906,0.06943249112783079,-0.09001440643788339,0.5513307984790875
SWAN era (2018-11 onward),SPY,396,7.57,3.1330470536284794,0.16282956141725058,0.1855686147535601,0.6911985390734885,0.6540980857282626,0.5115767209071352,-0.3182896225780541,0.07652492353707277,1.6050922462894766,0.12091597994945369,-0.1454574322432589,0.5732323232323232
SWAN era (2018-11 onward),VTI,396,7.57,3.0130016607454344,0.1568437134716265,0.190908594243036,0.6502758561150654,0.618721286890235,0.47655389279949967,-0.32912062169979023,0.08287223695698155,1.4099259023535147,0.12951822477702502,-0.15257860177988292,0.5808080808080808
SWAN era (2018-11 onward),QQQ,396,7.57,4.621939770210848,0.22411360488925336,0.21869600408979972,0.8507078445794904,0.8436718325357605,0.63930898586511,-0.35055600631982964,0.11445254692741437,1.6086457648340313,0.09538104243686707,-0.11250935349159974,0.5808080808080808
SWAN era (2018-11 onward),AOR,396,7.57,1.935432173837949,0.09114557019905933,0.11557775324137123,0.4693673424539219,0.4430059389644851,0.4107026512723207,-0.2219259357510802,0.06556475380593975,0.7800772096306701,0.08243301054121743,-0.09168307371465645,0.5681818181818182
NTSI era (2021-05 onward),TripleEdge 75/25,264,5.04,3.333931270077197,0.2698527037582126,0.25681065838483486,0.9003438255732373,0.8428860761494292,1.0059075079042339,-0.2682679089655463,0.14525047253695497,1.5824575283204871,0.11337260242868463,-0.11997061357795266,0.6515151515151515
