variant,base_label,regime_period,reentry_instrument,reentry_period,trailing_stop_pct,cagr,max_dd,sharpe,sortino,calmar,ulcer_index,upi,num_trades,train_cagr,test_cagr,train_sharpe,test_sharpe,train_test_sharpe_ratio,cagr_delta,calmar_delta
GDX_above_SMA10,R45_UGL_25_S6%,45,UGL,25,0.06,0.07567375198762227,-0.47198220350026965,0.2107849590869947,0.13741761071620043,0.160331790958256,0.20584607706444066,0.11500705928056693,140,0.07174220670390108,0.08160573938772764,0.19295555982270193,0.23422509139953937,0.8238039685234226,-0.05616113510371032,-0.1965981992546489
GLD_low_vol,R45_UGL_25_S6%,45,UGL,25,0.06,0.10692198489997806,-0.3584215258334245,0.3512904982945138,0.25771935337489615,0.29831351409867546,0.18366501055191642,0.2990334671527069,162,0.09880112627805149,0.11924496781115668,0.3144305351365348,0.4053975959672412,0.7756102608017016,-0.02491290219135453,-0.05861647611422943
UGL_above_SMA50,R45_UGL_25_S6%,45,UGL,25,0.06,0.11923377711193295,-0.4282801493429045,0.37205219726602096,0.31308662318165775,0.27840136250738967,0.24376382934691457,0.27581523186628576,208,0.12805371920221176,0.10634149838355,0.3993106921829679,0.3279524451378617,1.2175871779675533,-0.012601109979399644,-0.07852862770551522
EMA_regime,R45_GLD_5_S28%,45,GLD,5,0.28,0.164760155897957,-0.5242604559062953,0.49899019104393666,0.43402464792587186,0.3142715687246221,0.2827942366779737,0.3987356928577027,87,0.17699653489042366,0.14697298009492088,0.5352280482692859,0.4436565961992948,1.2064016468017447,0.003458848563554995,-0.03145579619338024
EMA_reentry,R45_GLD_5_S28%,45,GLD,5,0.28,0.16397926902930826,-0.4478619591051689,0.4991115813696331,0.4276457661189468,0.3661379710769361,0.26208068336013945,0.42727021157614814,73,0.1651964063856366,0.16238623865412327,0.5029572188096088,0.492131018618612,1.02199861374596,0.00267796169490625,0.020410606158933753
ATR_stop_1.5x,R45_GLD_5_S28%,45,GLD,5,0.28,0.10087724542883825,-0.4771023091793177,0.30765526478509236,0.2489581273733561,0.211437344753919,0.2368598373252118,0.20635514226807952,242,0.11425939673299301,0.08131788343275459,0.3558940315946397,0.23302514714590775,1.5272773602060987,-0.060424061905563764,-0.1342900201640833
ATR_stop_2.0x,R45_GLD_5_S28%,45,GLD,5,0.28,0.1001090971353682,-0.5774317986449466,0.30337061093294704,0.24490097618325563,0.17336956047500882,0.32449233662136456,0.14825957875086748,204,0.12798551023567928,0.0599163156453304,0.40063626914835737,0.155397482006199,2.578138744438443,-0.061192210199033814,-0.1723578044429935
ATR_stop_2.5x,R45_GLD_5_S28%,45,GLD,5,0.28,0.11340710660017694,-0.5732821842477328,0.3482163642707056,0.28460642831010624,0.19782074119221235,0.32176107670961446,0.1908469079856919,172,0.13844463067743717,0.0772165598592649,0.4325616210349141,0.2205802526042753,1.9610169810211295,-0.04789420073422507,-0.14790662372578997
ATR_stop_3.0x,R45_GLD_5_S28%,45,GLD,5,0.28,0.12384998274389147,-0.646067255092135,0.38200002985029063,0.3147664267712367,0.19169828182397103,0.3594789816214466,0.19987255560758743,144,0.15990602434590073,0.07230412168536948,0.49955619507353016,0.20393114481965297,2.4496316907126374,-0.03745132459051054,-0.1540290830940313
ATR_stop_3.5x,R45_GLD_5_S28%,45,GLD,5,0.28,0.11100083481330225,-0.6629259648063524,0.3375812873978374,0.28135425851712065,0.167440771226583,0.37438031089786417,0.15759598754486437,134,0.13479111624686868,0.07656927356797394,0.41546578443856513,0.21962583714264497,1.8916981255202863,-0.05030047252109976,-0.17828659369141933
ATR_stop_4.0x,R45_GLD_5_S28%,45,GLD,5,0.28,0.1129550662938048,-0.6561692041511042,0.3432708249243146,0.28647263035531007,0.1721431996186661,0.36701707037617476,0.1660823738561501,122,0.13665652456859867,0.07865129577950469,0.41892015604099364,0.22692068501937873,1.846108282306738,-0.048346241040597204,-0.17358416529933623
golden_cross,R45_GLD_5_S28%,45,GLD,5,0.28,0.1625814266207528,-0.5852776330304433,0.49288215884558967,0.40176135188927165,0.2777851355414706,0.2883136824311279,0.38354553862412827,17,0.13727982543649975,0.20157020145853077,0.4173203244709498,0.6019167080479786,0.6933190570906786,0.0012801192863508004,-0.06794222937653172
partial_exit_15pct,R45_GLD_5_S28%,45,GLD,5,0.28,0.12725585112226612,-0.4502449758146916,0.3999175786468615,0.34435938786930226,0.2826369153636955,0.2668697253003199,0.28199471123064823,92,0.14940647986405287,0.09516728197248092,0.4684509426982445,0.28682844132993307,1.6332095259667596,-0.034045456212135894,-0.06309044955430682
DXY_below_SMA40,R45_GLD_5_S28%,45,GLD,5,0.28,0.14457410485932543,-0.4483045249613713,0.45181840879255697,0.3560483651884377,0.3224908445253432,0.27340731401335217,0.33859410525793204,49,0.12661909641933833,0.1720557417806967,0.3930188688317045,0.5364230782951068,0.7326658466686808,-0.016727202475076586,-0.02323652039265911
TIP_above_SMA20,R45_GLD_5_S28%,45,GLD,5,0.28,0.13303564612185959,-0.5153228133073513,0.41407525823154795,0.3174349784037415,0.2581598227100298,0.2611648054050398,0.31028547662148287,57,0.12639875718045257,0.14315961722245518,0.3980220421342876,0.4358489357551868,0.9132109992299114,-0.028265661212542426,-0.08756754220797253
GDX_above_SMA10,R45_GLD_5_S28%,45,GLD,5,0.28,0.11703491532544774,-0.4576214863552828,0.3670347139101808,0.26826109387726194,0.255746110737872,0.26151722672866295,0.24868310259700288,45,0.08688575805255172,0.16366678263078405,0.25863509188067346,0.49743590992271947,0.5199365118631151,-0.04426639200895427,-0.08998125418013031
GLD_low_vol,R45_GLD_5_S28%,45,GLD,5,0.28,0.16254623356405618,-0.4786743246247158,0.5006987128103308,0.4184069916350576,0.339575835180827,0.2778006424483508,0.3979336857891146,65,0.17625529326194056,0.14261918110891125,0.5425388273058201,0.4367873963228738,1.2421119104471017,0.001244926229654164,-0.00615152973717531
UGL_above_SMA50,R45_GLD_5_S28%,45,GLD,5,0.28,0.15038545630292455,-0.5378515337145281,0.4587603277857153,0.3880624897249052,0.2796040298785197,0.29170304196436586,0.3372795005509172,65,0.1604541667764401,0.1357273142431965,0.48979909532903315,0.41134675403078935,1.1907207010374796,-0.010915851031477464,-0.06612333503948264
